zipcode,average_price
1073GM,142.0
1011NX,118.0
1016RC,135.0
1087JK,120.0
1019WZ,298.33
1012GD,140.0
1078CX,174.0
1019BX,115.0
1019JR,130.0
1056KH,99.0
1074EA,89.0
1016LJ,97.0
1097AN,79.0
1011BW,158.0
1094BC,95.0
1091GT,533.8
1018WG,127.5
1056HS,95.0
1012LJ,400.0
1056JV,135.0
1018JV,96.0
1015RH,130.0
1016EW,627.0
1054ZH,220.0
1015LA,65.0
1015AK,127.5
1078HD,150.0
1015BA,179.0
1013HK,125.0
1016XW,770.0
1097AR,100.0
1015MZ,249.0
1023BV,80.0
1072GE,120.0
1013CR,635.0
1074EH,144.5
1015JT,222.5
1056TS,200.0
1076TN,90.0
1022XZ,170.0
1081ED,100.0
1012DM,130.0
1058EK,89.0
1051XM,99.0
1015DT,203.22
1013TM,250.0
1074XA,90.0
1011GH,142.5
1073LT,130.0
1011BM,145.0
1093HW,50.0
1013KH,555.0
1091XS,86.0
1052KC,121.5
1052NL,249.0
1011JP,140.0
1019HB,175.0
1017XJ,150.0
1092CN,150.0
1094BH,75.0
1073TG,132.0
1051PB,150.0
1017RJ,195.0
1051NK,131.0
1011ET,249.0
1051BR,100.0
1016AK,189.0
1035PV,118.5
1021NP,120.0
1091DS,230.0
1093NG,95.0
1056VJ,99.0
1013NS,818.75
1052EL,95.0
1011VP,120.0
1075ST,409.5
1019TH,275.0
1072HC,297.0
1012GE,75.0
1073GV,90.0
1056RW,120.0
1012PS,110.0
1073GN,90.0
1072NX,130.0
1025TT,200.0
1011JL,115.0
1094LN,102.0
1018AD,157.6
1018CE,65.0
1072JH,142.5
1018EJ,182.0
1011KB,375.0
1055PA,55.0
1058JR,90.0
1072RT,104.0
1015WH,255.0
1053LH,122.0
1086XR,85.0
1011PG,142.5
1017CT,220.0
1017AW,135.0
1012TV,120.0
1078CZ,159.0
1015KZ,250.0
1018WW,127.0
1013PH,87.5
1018ES,158.0
1016EZ,193.33
1054DJ,165.0
1078AZ,610.13
1025VS,195.0
1051CP,60.0
1076XB,80.0
1074TM,80.0
1055WB,75.0
1059TS,119.0
1074CJ,127.0
1051GG,80.0
1071NL,175.0
1054VJ,150.0
1102ZP,67.0
1013SW,324.5
1013EH,240.0
1061DM,69.0
1018LW,65.0
1075EL,170.0
1058EB,415.25
1013JN,519.5
1051KH,647.0
1013LL,115.0
1051EZ,89.0
1051EH,85.0
1053EP,150.0
1016LP,137.5
1054ZG,231.0
1073EG,166.67
1059AH,90.0
1032HG,70.0
1091BD,75.0
1019ET,65.0
1017CV,180.0
1019WN,367.5
1065DB,110.0
1013SR,738.75
1056XS,115.0
1013MT,75.0
1076PR,135.0
1016VX,700.0
1052GA,997.6
1073GA,149.0
1016LG,211.67
1073AB,125.0
1054AA,146.67
1053ZV,109.0
1052NE,120.0
1018KM,60.0
1015WJ,120.5
1053DD,116.0
1021GP,109.5
1054VR,99.0
1019HX,100.0
1012RZ,499.5
1021NR,85.0
1078RP,219.0
1097BC,64.0
1055AA,529.5
1017NH,552.0
1053KR,127.0
1079DD,457.0
1082RK,90.0
1073AW,75.0
1013GX,150.0
1052LN,180.0
1073CE,195.0
1058XV,84.0
1074HR,250.0
1011KA,325.0
1012HS,525.0
1018ED,210.0
1053WH,159.0
1023BC,95.0
1058TT,372.17
1066SB,325.0
1081EC,100.0
1058HM,137.0
1052AD,149.5
1012MA,120.0
1079JG,957.5
1055DD,87.5
1012HM,125.0
1091KX,120.0
1015DS,152.0
1091TP,87.5
1016KW,1102.5
1058GD,1157.5
1015GC,375.0
1016GR,189.0
1097NV,149.0
1017JG,169.0
1054XZ,129.0
1053LV,250.0
1091BA,95.0
1016BL,179.0
1079ET,99.0
1094HC,870.0
1071GX,275.0
1013TL,98.0
1016KZ,128.75
1022XV,100.0
1053MK,164.0
1018ZX,110.0
1076LA,110.0
1072LB,120.0
1065BV,120.0
1054HP,119.0
1051NL,89.0
1054CM,200.0
1091VG,597.5
1052HL,100.0
1058VX,367.5
1058GZ,210.0
1056EM,75.0
1055RE,148.33
1055MC,85.0
1073HE,412.5
1018EW,95.0
1052XC,90.0
1018SJ,89.0
1012VC,153.5
1072BX,125.0
1065BG,115.0
1013ZT,116.33
1078BG,150.0
1022CC,60.0
1058SP,200.0
1051VN,59.0
1018XE,310.0
1092TB,85.0
1021JD,80.0
1054DG,350.0
1015GV,150.0
1076CH,125.0
1082MC,100.0
1091EN,169.0
1095BP,95.0
1052CV,155.0
1015DV,230.0
1013AP,121.67
1017TE,95.0
1017XA,115.0
1076NZ,95.0
1021TR,102.5
1087HW,375.0
1053ZE,185.0
1078HG,120.0
1091DT,270.0
1017CD,200.0
1054LV,90.0
1102MV,90.0
1018XK,99.0
1091ES,90.0
1171NV,125.0
1015VG,135.0
1013AT,60.0
1053MX,169.0
1054ET,125.0
1019LR,916.25
1016KL,139.0
1012CK,249.0
1078NX,75.0
1094RB,69.0
1013SG,800.34
1052EJ,160.0
1055SP,139.5
1093BZ,70.0
1012DV,225.0
1013BR,119.0
1012HT,150.0
1055CA,65.0
1087MC,99.0
1069MN,115.0
1019WD,165.0
1034WS,70.0
1015HH,145.0
1072LT,100.0
1011CD,722.5
1079LL,140.0
1171HR,85.0
1097AT,80.0
1078MG,120.0
1013AX,426.33
1012TE,128.0
1072AD,491.84
1073CC,125.0
1057NE,100.0
1051JB,133.0
1079CN,142.5
1054JZ,125.0
1011CX,240.0
1013NL,103.5
1072EJ,119.0
1094SG,69.0
1032XL,75.0
1023AT,99.0
1015DP,150.0
1079AB,75.0
1071TW,250.0
1017SN,175.0
1017NJ,500.0
1095VR,75.0
1094NB,69.0
1021PC,125.0
1011LM,143.0
1015CL,125.0
1095TA,83.33
1061DJ,95.0
1072LJ,119.0
1060LZ,109.0
1018VP,110.0
1072VX,150.0
1013JV,150.0
1032AN,45.0
1073EV,100.0
1054ZV,100.0
1052KJ,70.0
1072SN,112.0
1012LR,382.5
1078BA,70.0
1054ER,190.0
1091EJ,681.67
1058CG,85.0
1016RV,125.0
1054LK,100.0
1094ZC,80.0
1012CA,155.0
1015MA,450.0
1017HH,136.33
1078JK,200.0
1053TN,180.0
1072VC,300.0
1025CW,99.0
1012DW,185.0
1011HH,109.0
1057AH,99.0
1053HB,112.67
1072CK,150.0
1013JA,149.0
1015KV,522.0
1091VW,110.0
1051KW,110.0
1017JE,186.0
1017TP,206.67
1087CD,125.0
1061VP,99.0
1017HK,606.0
1092CW,119.0
1060ST,296.0
1012DS,100.0
1075RD,627.5
1012BZ,99.0
1097CN,89.0
1017BJ,215.0
1075TV,112.67
1011GS,325.0
1057AK,109.0
1079CK,97.5
1054HS,158.33
1087EM,127.5
1019CV,90.0
1021CN,125.0
1075RW,95.0
1072CE,295.0
1012CX,300.0
1013EN,95.0
1053SX,100.0
1058EN,101.5
1018MS,92.25
1012VH,250.0
1015NA,150.0
1091GC,113.67
1054JR,90.0
1054VT,89.0
1054GP,350.0
1018WH,89.0
1091JL,100.0
1094CC,75.0
1078KV,90.0
1079ZK,380.0
1015SJ,120.0
1034KW,125.0
1033RA,85.0
1075CZ,90.0
1018WS,80.0
1051HP,100.0
1054ZJ,130.0
1091CV,245.0
1055EX,84.67
1079JW,75.0
1019XH,140.0
1058NJ,95.0
1055BW,85.0
1054WJ,125.0
1071MN,390.0
1013ZM,130.0
1017JK,140.0
1018HL,110.0
1073HK,90.0
1093HN,90.0
1075HT,149.0
1072SL,89.0
1018VE,178.0
1095VZ,76.0
1052BH,65.0
1073BJ,119.0
1011JV,103.0
1095TT,48.0
1025RW,75.5
1016PT,109.5
1015HN,115.0
1065SW,130.0
1013GM,280.0
1078VB,110.0
1017CE,134.67
1053WL,140.0
1071XP,45.0
1056EB,49.0
