zipcode,average_price
1054WZ,160
1055NP,45
1079GM,120
1063TX,64
1093VK,72
1072GT,100
1094EX,81
1016CG,195
1056XE,92.5
1019RP,179
1076AT,125
1018VS,160
1011EA,127
1011EZ,150
1026CR,125
1016HX,165
1017JC,200
1011VH,250
1072NL,240
1094HA,72.5
1091CX,80
1018VR,157
1013BV,139.8
1015PH,78
1013KV,142
1094KW,89
1073GG,200
1015VJ,160
1094HJ,80
1052LM,99
1051VL,100
1017NK,125
1056TM,88.33
1058KV,85
1019HS,200
1016HW,144.5
1035VD,175
1053KB,79
1016DP,159
1013HM,115
1071XJ,190
1015PJ,107.5
1078EE,100
1055PK,133.5
1013DH,100
1056HL,94
1015GH,139
1012BM,200
1021HW,110
1056DR,90
1058TX,84
1072CX,119
1013BH,98
1035PX,40
1082GM,150
1082NR,126.67
1083GL,135
1071LG,300
1052LB,90
1092JM,87.5
1032KJ,110
1011LA,225
1013CH,84
1074AB,84
1013MR,101.33
1095VN,150
1017DJ,125
1018BW,100
1051CM,135
1016XL,125
1051PA,162
1017AS,212.5
1015GL,206.5
1072JR,150
1092BR,115
1013VL,89
1052HH,145
1015BR,197.5
1059XL,90
1015XP,95
1016HP,275
1015CW,225
1053DP,103.5
1018AR,75
1072XT,65
1055BP,110
1013AJ,292.5
1091RZ,94.5
1017ND,144.5
1015AD,673.33
1058JM,175
1011KJ,207.5
1079EC,120.5
1053KM,99
1073GM,142
1011NX,118
1016RC,135
1087JK,120
1019WZ,298.33
1012GD,140
1078CX,174
1019BX,115
1019JR,130
1056KH,99
1074EA,89
1016LJ,97
1097AN,79
1011BW,158
1094BC,95
1091GT,117.6
1018WG,127.5
1056HS,95
1012LJ,400
1056JV,135
1018JV,96
1015RH,130
1016EW,154
1054ZH,220
1015LA,65
1015AK,127.5
1078HD,150
1015BA,179
1013HK,125
1016XW,770
1097AR,100
1015MZ,249
1023BV,80
1072GE,120
1013CR,95
1074EH,144.5
1015JT,222.5
1056TS,200
1076TN,90
1022XZ,170
1081ED,100
1012DM,130
1058EK,89
1051XM,99
1015DT,203.22
1013TM,250
1074XA,90
1011GH,142.5
1073LT,130
1011BM,145
1093HW,50
1013KH,110
1091XS,86
1052KC,121.5
1052NL,249
1011JP,140
1019HB,175
1017XJ,150
1092CN,150
1094BH,75
1073TG,132
1051PB,150
1017RJ,195
1051NK,131
1011ET,249
1051BR,100
1016AK,189
1035PV,118.5
1021NP,120
1091DS,230
1093NG,95
1056VJ,99
1013NS,80
1052EL,95
1011VP,120
1075ST,119
1019TH,275
1072HC,110
1012GE,75
1073GV,90
1056RW,120
1012PS,110
1073GN,90
1072NX,130
1025TT,200
1011JL,115
1094LN,102
1018AD,157.6
1018CE,65
1072JH,142.5
1018EJ,182
1011KB,375
1055PA,55
1058JR,90
1072RT,104
1015WH,255
1053LH,122
1086XR,85
1011PG,142.5
1017CT,220
1017AW,135
1012TV,120
1078CZ,159
1015KZ,250
1018WW,127
1013PH,87.5
1018ES,158
1016EZ,193.33
1054DJ,165
1078AZ,189
1025VS,195
1051CP,60
1076XB,80
1074TM,80
1055WB,75
1059TS,119
1074CJ,127
1051GG,80
1071NL,175
1054VJ,150
1102ZP,67
1013SW,99
1013EH,240
1061DM,69
1018LW,65
1075EL,170
1058EB,150
1013JN,94
1051KH,647
1013LL,115
1051EZ,89
1051EH,85
1053EP,150
1016LP,137.5
1054ZG,231
1073EG,166.67
1059AH,90
1032HG,70
1091BD,75
1019ET,65
1017CV,180
1019WN,85
1065DB,110
1013SR,87.5
1056XS,115
1013MT,75
1076PR,135
1016VX,100
1052GA,95.2
1073GA,149
1016LG,211.67
1073AB,125
1054AA,146.67
1053ZV,109
1052NE,120
1018KM,60
1015WJ,120.5
1053DD,116
1021GP,109.5
1054VR,99
1019HX,100
1012RZ,199
1021NR,85
1078RP,219
1097BC,64
1055AA,69
1017NH,149
1053KR,127
1079DD,289
1082RK,90
1073AW,75
1013GX,150
1052LN,180
1073CE,195
1058XV,84
1074HR,250
1011KA,325
1012HS,150
1018ED,210
1053WH,159
1023BC,95
1058TT,111
1066SB,325
1081EC,100
1058HM,137
1052AD,149.5
1012MA,120
1079JG,65
1055DD,87.5
1012HM,125
1091KX,120
1015DS,152
1091TP,87.5
1016KW,180
1058GD,115
1015GC,375
1016GR,189
1097NV,149
1017JG,169
1054XZ,129
1053LV,250
1091BA,95
1016BL,179
1079ET,99
1094HC,90
1071GX,275
1013TL,98
1016KZ,128.75
1022XV,100
1053MK,164
1018ZX,110
1076LA,110
1072LB,120
1065BV,120
1054HP,119
1051NL,89
1054CM,200
1091VG,105
1052HL,100
1058VX,85
1058GZ,210
1056EM,75
1055RE,148.33
1055MC,85
1073HE,125
1018EW,95
1052XC,90
1018SJ,89
1012VC,153.5
1072BX,125
1065BG,115
1013ZT,116.33
1078BG,150
1022CC,60
1058SP,200
1051VN,59
1018XE,310
1092TB,85
1021JD,80
1054DG,100
1015GV,150
1076CH,125
1082MC,100
1091EN,169
1095BP,95
1052CV,155
1015DV,230
1013AP,121.67
1017TE,95
1017XA,115
1076NZ,95
1021TR,102.5
1087HW,375
1053ZE,185
1078HG,120
1091DT,100
1017CD,200
1054LV,90
1102MV,90
1018XK,99
1091ES,90
1171NV,125
1015VG,135
1013AT,60
1053MX,169
1054ET,125
1019LR,60
1016KL,139
1012CK,249
1078NX,75
1094RB,69
1013SG,95
1052EJ,160
1055SP,139.5
1093BZ,70
1012DV,225
1013BR,119
1012HT,150
1055CA,65
1087MC,99
1069MN,115
1019WD,165
1034WS,70
1015HH,145
1072LT,100
1011CD,195
1079LL,140
1171HR,85
1097AT,80
1078MG,120
1013AX,426.33
1012TE,128
1072AD,110
1073CC,125
1057NE,100
1051JB,133
1079CN,142.5
1054JZ,125
1011CX,240
1013NL,103.5
1072EJ,119
1094SG,69
1032XL,75
1023AT,99
1015DP,150
1079AB,75
1071TW,250
1017SN,175
1017NJ,500
1095VR,75
1094NB,69
1021PC,125
1011LM,143
1015CL,125
1095TA,83.33
1061DJ,95
1072LJ,119
1060LZ,109
1018VP,110
1072VX,150
1013JV,150
1032AN,45
1073EV,100
1054ZV,100
1052KJ,70
1072SN,112
1012LR,175
1078BA,70
1054ER,190
1091EJ,163.33
1058CG,85
1016RV,125
1054LK,100
1094ZC,80
1012CA,155
1015MA,450
1017HH,136.33
1078JK,200
1053TN,180
1072VC,300
1025CW,99
1012DW,185
1011HH,109
1057AH,99
1053HB,112.67
1072CK,150
1013JA,149
1015KV,105
1091VW,110
1051KW,110
1017JE,186
1017TP,206.67
1087CD,125
1061VP,99
1017HK,212
1092CW,119
1060ST,296
1012DS,100
1075RD,105
1012BZ,99
1097CN,89
1017BJ,215
1075TV,112.67
1011GS,325
1057AK,109
1079CK,97.5
1054HS,158.33
1087EM,127.5
1019CV,90
1021CN,125
1075RW,95
1072CE,295
1012CX,300
1013EN,95
1053SX,100
1058EN,101.5
1018MS,92.25
1012VH,250
1015NA,150
1091GC,113.67
1054JR,90
1054VT,89
1054GP,350
1018WH,89
1091JL,100
1094CC,75
1078KV,90
1079ZK,60
1015SJ,120
1034KW,125
1033RA,85
1075CZ,90
1018WS,80
1051HP,100
1054ZJ,130
1091CV,125
1055EX,84.67
1079JW,75
1019XH,140
1058NJ,95
1055BW,85
1054WJ,125
1071MN,390
1013ZM,130
1017JK,140
1018HL,110
1073HK,90
1093HN,90
1075HT,149
1072SL,89
1018VE,178
1095VZ,76
1052BH,65
1073BJ,119
1011JV,103
1095TT,48
1025RW,75.5
1016PT,109.5
1015HN,115
1065SW,130
1013GM,280
1078VB,110
1017CE,134.67
1053WL,140
1071XP,45
1056EB,49
1075GC,125
1016PS,172.5
1019SG,150
1091SK,79
1078LB,100
1097AM,99
1072JZ,240
1091SZ,175
1076VG,120
1053PK,112.5
1092CM,127
1056RL,80
1018EM,115
1013EA,300
1017LC,125
1015DG,220
1016AB,150
1011BJ,147
1052CS,99
1094GP,100
1073SZ,112
1013SV,114.33
1016HS,178.33
1019DD,249
1019WE,159
1091DV,83
1025GH,95
1076VA,65
1016HT,150
1011JN,180
1021GE,75
1092KG,129
1015AG,215
1013JK,110
1016XT,69
1053GA,88
1015TK,300
1091CS,120
1018VJ,110.5
1015LD,177.5
1035HN,125
1012PV,100
1015CS,200
1033RC,35
1075HM,164.5
1053EM,100
1023NT,250
1012KR,229
1092BT,120
1072BD,109
1079LH,120
1098TJ,85
1073VN,220
1054VA,169
1072XB,95
1057VR,113
1011HJ,160
1015PW,200
1091TG,100
1021LS,95
1013RW,82.5
1053EC,120
1057NT,95
1052CP,135
1072MK,135
1094LK,70
1054WH,79
1073TW,89
1011JZ,175
1098CC,200
1057AL,131.67
1102TT,75
1053AT,75
1072LM,65
1054JC,205
1067VW,89
1072CH,70
1016TM,90
1056XB,125
1018KB,80
1066XK,87.5
1055XP,79
1018VK,85
1094CL,105
1091NA,118
1058XK,85
1018PE,117
1054XA,140
1056HJ,125
1015PX,147.5
1055EZ,250
1071VJ,114
1013JE,110
1052WT,109
1012GL,150
1083HA,140
1078AA,189
1018AC,124.5
1019WL,85
1054WC,170
1071XB,120
1074HZ,119.5
1015MV,89
1019RS,165
1023BT,90
1053PG,79
1018TT,120
1075EC,98
1012SJ,250
1072CC,103
1092BH,102.5
1012NB,179
1072PG,75
1057AZ,160
1095KV,100
1013GC,295
1016GK,89
1018AG,154
1072AW,122
1013AS,92
1023CV,147.5
1072GH,100
1019DS,85
1058SJ,98
1073TB,129
1091RW,129
1082XL,99
1057BZ,130
1074XB,99
1055LM,95
1053KZ,95
1021EH,129
1083TV,130
1073EA,132
1056PD,95
1016PV,112
1013DV,99
1098KV,250
1016TA,129
1074BA,150
1072HR,150
1051HA,200
1018LP,89.5
1013XT,95
1015AB,229
1012CZ,90
1032CL,125
1098CR,97
1066EH,275
1011EH,120
1072RE,100
1076DT,250
1078EL,100
1016AL,199
1011EX,100
1078JJ,85
1018RL,75
1018HR,89.67
1078PW,115
1051XW,99
1017HW,150
1018PX,85
1053LB,110
1022AM,37.5
1015XK,95
1077RV,162.5
1017XL,350
1016NG,110
1051NV,129
1013RK,120
1094CG,95
1057JC,89
1058JD,450
1093VG,90
1051PX,190
1012NV,119
1095LG,100
1054EN,110
1051GE,89
1071NX,995
1053CV,175
1072JK,300
1078PD,185
1035VE,85
1072AL,120
1017EW,199
1098NB,165
1053BE,80
1059EB,120
1098EC,149
1079VR,99
1059CX,150
1053AA,99
1015CN,100
1015JC,135
1072XA,139
1053AK,115
1091HT,110
1055CV,67.5
1018TW,160
1098RJ,150
1073XR,300
1017NB,165
1097WC,65
1093VD,96.5
1051AB,175
1053PR,119
1017BV,485
1057VG,70
1053HG,110
1052BJ,242.5
1057SW,80
1076PE,72
1017KL,137.25
1015CR,165
1091CP,85
1013AK,115
1053WP,119.5
1098HA,127.5
1016DB,109.5
1055HC,80
1016SP,100
1091KH,70
1011BD,149
1072SZ,120
1058EM,89
1051JV,80
1072CB,173.33
1054VL,85
1074JB,350
1057XA,170
1075PV,147
1051MA,389
1011JJ,225
1015TP,240
1052HT,119.5
1018AS,105
1075RR,225
1094XT,65
1094JT,70
1059VH,30
1056KD,70
1056DJ,120
1076XE,150
1015TV,175
1016CC,199
1012DA,152.5
1016XS,100
1017LZ,75
1052MZ,139
1013SB,100
1016PJ,100
1016NK,119
1072VZ,150
1018CR,79
1012PL,81.5
1053KL,107.5
1014AG,98.5
1053KS,84.5
1056PR,89
1017VV,420
1053WT,120
1073AX,130
1016XJ,129
1016NC,130
1012KE,228.17
1015NV,151.33
1096CN,100
1057CD,95
1076SM,79
1081JX,120
1074VT,120
1017RS,150
1073VA,89
1071XH,132.5
1079GX,89
1072JN,90
1016LD,100
1095AV,75
1055JC,95
1054NL,110
1021JK,75
1051XR,94
1011JX,145
1058VS,99
1098NP,140
1096DM,55
1065TC,220
1016VM,125
1091HK,70
1098JP,110
1073TM,98
1055GM,110
1017WE,122.5
1017WD,143
1064AA,195
1087BB,104
1095AX,150
1013WD,75
1058GK,99
1053WV,135
1078PJ,100
1054VG,107.5
1018WE,140
1051EP,97.5
1013JC,180
1073JE,85
1057GV,98
1015HW,84.5
1092BP,95
1057KA,195
1055BS,200
1074XE,150
1015KE,125
1091ZB,105
1057WD,105
1075SH,80
1091NG,95
1071WZ,149
1015KN,114.33
1071XK,125
1015SC,149
1073EB,109
1091SJ,104.5
1015GB,150
1073SK,190
1053GM,107.5
1051BZ,110
1075VJ,149
1091MZ,95
1074CN,110
1051GZ,90
1058KR,85
1081GG,99
1079HJ,145
1078AJ,175
1073BA,199
1016AN,534.5
1058LJ,152.5
1017JX,300
1013NN,187
1054XB,159
1061MH,69
1097EV,300
1075CA,86
1073CH,89
1021CT,110
1075SB,91.5
1055VZ,100
1078AK,169
1102XM,70
1054WT,97
1056EN,75
1061MJ,119.75
1092GG,120
1074SP,150
1081GN,70
1055EK,100
1015NR,142.5
1016HZ,200
1012ES,217.5
1051LC,110
1012PX,200
1015DW,144
1055AB,149
1013PA,150
1017AG,199.67
1022XG,75
1053BM,100
1031XG,102
1076CJ,145
1015JG,90
1098AN,165
1018XH,195
1015DR,200
1015GK,290.5
1052SV,80
1016XB,189
1055RC,75
1016XC,96.33
1076PK,99
1016XX,145
1033NL,160
1051HM,120
1016PM,163.33
1013EW,290
1017XH,147.5
1058DD,250
1053KK,100
1058EH,62
1056EW,200
1055PT,150
1078PX,101
1051KX,117
1053MP,110
1053LL,350
1056WV,99
1098XA,100
1013MS,115
1083CN,150
1031HW,50
1055VS,71
1076XT,90
1018HH,100
1016DT,229
1015MT,158.33
1052ST,82.5
1091AN,92.5
1013ES,95
1019XA,120
1017TV,289.67
1055AR,87
1093LC,125
1072KP,100
1068PM,99
1015AL,224
1012EZ,137
1079TH,125
1012JD,275
1071KL,150
1017ET,208.75
1055CG,135
1015VC,247
1078GE,75
1072AT,99
1092CB,90
1052ED,93
1054VP,110
1082XJ,95
1018DT,180
1056NG,90
1075TX,85
1079VV,85
1014KD,125
1058HG,100
1056PW,80
1011JT,126
1015JK,129.25
1015LB,120
1082AR,100
1074VR,87.5
1054ZE,207.5
1032LA,180
1012BP,100
1095AW,127
1052JJ,300
1057BT,90
1053TT,80
1072TK,175
1073VE,140
1053XE,101.17
1012LZ,130
1093BJ,84.33
1056KP,115
1060LR,56
1053TX,159
1063AZ,175
1071BK,140
1072AK,125
1072HA,70
1055RA,122.5
1052HK,95
1091AL,100
1017NZ,302.5
1017BK,130
1072NS,160
1051EX,98.33
1011RL,149
1054LG,90
1057AP,99
1078RA,90
1074VM,110
1096HK,120
1078XC,99
1016HK,190
1091LM,124.67
1012SW,109.33
1017KW,131
1063GP,75
1018GB,472.5
1016KB,200
1054TL,130
1068NL,145
1015WK,99
1018TN,515
1054MA,140
1016BH,280
1083AS,275
1094HS,56
1011VL,119
1097PL,68
1053RJ,176.67
1018ZL,105
1079BC,350
1012GS,215
1016CK,88
1025LC,245
1055DS,90
1022AD,72
1016RG,169.67
1016JA,153.33
1092HC,125
1015PE,275
1017JD,270
1018KC,125
1093SX,120
1074HN,150
1072TA,175
1061XZ,85
1015SV,140
1092GZ,100
1076RJ,85
1012HL,248.33
1017ZL,125
1095CP,90
1026CE,95
1054JJ,99
1073ER,80
1059CW,76
1073TC,160
1016SM,95
1057RX,110
1023AS,110
1013JX,121
1075TP,105
1055BL,69
1053SP,107
1054KZ,100
1073AS,120
1053NG,87.5
1017EX,299
1052RH,80
1093GT,92
1054ZT,90
1078JR,100
1054ZW,137
1018BK,90
1017NE,140
1033PC,100
1015GX,100
1013LC,97.4
1016VH,155
1015PT,135
1053KV,120
1056AL,205
1052ND,100
1051CG,225
1052VG,180
1053DC,82
1059TP,115
1051ED,225
1051PP,99
1071GT,80
1073CJ,80
1094KD,80
1016AE,570
1033WB,529.8
1017PL,178.33
1092VV,150
1012WP,264.75
1011TZ,143.33
1015NH,128.75
1017LE,116
1098JE,150
1077JL,99
1013PM,125
1053GH,100
1072EP,150
1055PP,75
1051GX,107
1015JD,186.25
1013SZ,178.33
1011EN,142.83
1017WV,162.5
1058ER,80
1071DG,130
1054BE,675
1074XN,110
1023AV,145
1017CG,170
1015RW,80
1015GR,132
1054BS,150
1051TX,80
1074XS,175
1018LZ,95
1075RJ,95
1091TJ,40
1011CT,120
1013EE,300
1092TR,93
1059AV,250
1019AX,187.5
1078GD,175
1012HX,135
1015KS,115
1078KL,89
1011LJ,88
1091SL,109
1076XL,110
1054DC,160
1052HB,92
1018VX,99
1053AJ,100
1052AC,85
1016CN,120
1011EM,155
1015KD,170
1011TE,185
1091TT,108.67
1071AE,235
1053HA,75
1021CP,89.5
1051TK,79
1013JM,100
1033NM,175
1054DX,89
1032VC,135
1051BW,145
1051XC,164.5
1094JC,91.5
1057NP,125
1055SC,79
1071GK,200
1015NL,114.67
1031CC,192.5
1102AA,59
1052RZ,100
1053GS,111.67
1059TK,95
1018MT,120
1095JW,85
1082NP,105
1018KN,121
1053CM,99
1011CW,119
1086VA,199
1023BM,104
1091DG,150
1091EM,174.5
1012CL,220
1015XS,150
